text	label
watching queen of the damned is like reading a research paper , with special effects tossed in . 	1
new best friend shouldn't have gone straight to video ; it should have gone straight to a mystery science theater 3000 video . 	1
whip smart , alluring as hell , dynamic , and sexually predatory . 	0
aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships . 	1
the editing is chaotic , the photography grainy and badly focused , the writing unintentionally hilarious , the direction unfocused , the performances as wooden . 	1
de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork . but like bruce springsteen's gone-to-pot asbury park , new jersey , this sad-sack waste of a movie is a city of ruins . 	1
what might have emerged as hilarious lunacy in the hands of woody allen or mel brooks ( at least during their '70s heyday ) comes across as lame and sophomoric in this debut indie feature . 	1
even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . 	1
although commentary on nachtwey is provided . . . it's the image that really tells the tale . 	1
edi is severely punished for that but he accepts his fate taking care of the girl's child . 	0
must-see viewing for anyone involved in the high-tech industry . others may find it migraine-inducing , despite moore's attempts at whimsy and spoon feeding . 	1
when every one suspects that it is him , the trio then set out to find the culprit and find out more than they bargained for : the diary of tom riddle , why hagrid was expelled and what the chamber of secrets is and why is it so feared in hogwarts . 	0
it doesn't make for great cinema , but it is interesting to see where one's imagination will lead when given the opportunity . 	1
"it concludes with a laramie staging of "" angels in america "" a year after shephard's death . "	0
tunney , brimming with coltish , neurotic energy , holds the screen like a true star . 	1
the special effects and cgi , uneven in sorcerer's stone , are all spit-shine and shoe-polish in chamber of secrets . there isn't one hair out of place . 	1
when virginia visits her aunt millie at christmas , she discovers a stack of handwritten letters over half a century old , and unlocks the story of her aunt's youthful days as a young woman living in hamilton , mississippi , during the second world war . 	0
one boy needs to avenge the death of his father . . . 	0
a different kind of love story - one that is dark , disturbing , painful to watch , yet compelling . 	1
"a virus has escaped in a secret facility called "" the hive , "" turning the staff into hungry zombies and releasing the mutated lab "" animals "" that they were studying . "	0
quite funny for the type of movie it is . . . 	1
an arrested drug kingpin is transported by a los angeles police department swat team led by jackson's character out of the city and into federal custody . 	0
a pathetic exploitation film that tries to seem sincere , and just seems worse for the effort . 	1
spurning her mother's insistence that she get on with her life , mary is thrown out of the house , rejected by joe , and expelled from school as she grows larger with child . 	0
the baby that is the anti-christ is switched at birth . 	0
ofrece una buena oportunidad de cultura ( aunque sea condensada ) que bien vale la pena aprovechar . 	1
based on brett easton ellis's novel , the story deals with a drug dealer at a vermont school , who becomes entangled in a love triangle with a girl whom he likes , but he sleeps with her roommate , and a guy who has a crush on him . 	0
it's often faintly amusing , but the problems of the characters never become important to us , and the story never takes hold . 	1
this movie in a single breath goes to the very heart of the russian experience . 	1
mike sullivan ( tom hanks ) works as a hit man for crime boss john rooney ( paul newman ) sullivan views rooney as a father figure . 	0
this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer's star trek vi : the undiscovered country . 	1
fourth generation war hero col . william mcnamara is imprisoned in a brutal german pow camp . 	0
boon hock comes from a low-income family and needs to balance school and helping out at the food stall . 	0
"the fake "" attack "" turns into a bloodbath . "	0
i can't remember the last time i saw worse stunt editing or cheaper action movie production values than in extreme ops . 	1
opens at a funeral , ends on the protagonist's death bed and doesn't get much livelier in the three hours in between . 	1
satin rouge is not a new , or inventive , journey , but it's encouraging to see a three-dimensional , average , middle-aged woman's experience of self-discovery handled with such sensitivity . 	1
for years he has been happy here , content and prolific , but now he is at odds with his work and is unable to paint . 	0
"a new reality-style game show , "" treasure hunt "" has invited a cast of contestants , including a los angeles cop who's joined to try and make up for an earlier pr blunder , to a tropical island to hunt for a buried treasure worth ten million dollars . "	0
a young man named owen , who can't get over his would-be fiancee and now ex-girlfriend , chloe , who moved to los angeles to become a tv star , finally falls in love with nadine , the girl who would've been their maid of honor . 	0
happy times maintains an appealing veneer without becoming too cute about it . 	1
the only hope against it is a new upgraded t-800 unit , the t-850 , that is sent back by the human resistance . 	0
this is historical filmmaking without the balm of right-thinking ideology , either liberal or conservative . mr . scorsese's bravery and integrity in advancing this vision can hardly be underestimated . 	1
steve's best friend , sean , on the other hand , hasn't been so lucky . 	0
though everything might be literate and smart , it never took off and always seemed static . 	1
this doesn't go down well with his superiors and they decide that rajput is now a liability to the bank and they sack him . 	0
'the war of the roses , ' trailer-trash style . entertaining but like shooting fish in a barrel . 	1
that we are not the target and still got ninety percent of it is a compliment to director charles stone iii and screenwriters matthew cirulnick and thulani davis who whipped the original story into coherent shape . 	1
gus sits on the sofa and talks about being the world's oldest pothead , who started smoking in 1936 . 	0
leading his army of women into the surrounding mountain glens , dionysus casts a spell on the city's females , who abandon their husbands and fathers in order to engage in forbidden revels . 	0
flounders due to the general sense that no two people working on the production had exactly the same thing in mind . 	1
while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo . . . broad streaks of common sense emerge with unimpeachable clarity . 	1
mystery inc . ( daphne , fred , velma , shaggy , and scooby doo ) has broken up ; on the grounds of who has been solving their cases . 	0
in this action-comedy , four twenty-something friends are looking for love and having no luck . 	0
a young idealistic priest in northern ireland has his faith put to the test when he is faced with the ultimate moral dilemma . 	0
compassionately explores the seemingly irreconcilable situation between conservative christian parents and their estranged gay and lesbian children . 	1
you can sip your vintage wines and watch your merchant ivory productions ; i'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week . 	1
this is a movie where the most notable observation is how long you've been sitting still . 	1
avary's film never quite emerges from the shadow of ellis' book . 	1
her father is livid over her dating a non-greek . 	0
 a buoyant romantic comedy about friendship , love , and the truth that we're all in this together . 	1
" "" sumo east and west "" takes us into this world through the story of wayne vierra of hawaii , aka kamakiiwa , a former professional sumo wrestler in japan whose pro career was cut short by injury , but who rebounded to become a champion in the growing world of amateur sumo . "	0
light , silly , photographed with colour and depth , and rather a good time . 	1
the symbols float like butterflies and the spinning styx sting like bees . i wanted more . 	1
everything about the quiet american is good , except its timing . 	1
the more he digs , the more evidence he finds that the overdose may have been attempted murder . 	0
it's been 10 years since the events of the second film . 	0
the overall effect is awe and affection -- and a strange urge to get on a board and , uh , shred , dude . 	1
because of his horribly unforgivable sins , freddy krueger ( robert englund ) is stuck in hell eternally . 	0
when his only friend and co-worker dies , a young man born with dwarfism moves to an abandoned train depot in rural new jersey . 	0
ruby acts out these scenes in real life with the men and shares her spoils with her sisters . 	0
in the end , debby , beth , and virginia find , if not the relationships of their dreams , peace with each other and within themselves . 	0
when miami dentist ted brooks ( cuba gooding , jr . ) learns that his birth mother has passed away and that he was named in her will , he travels to alaska to claim his inheritance . 	0
finally , the purity of arvasu and nittilai's love brings salvation to the land . 	0
where as many films of this nature linger on the hard , the ugly , the blood , or just the stylistic ; empire focuses on the thinking , the love , and even the light-heartedness , as well as the violence . 	1
years later , on a hunting trip in the maine woods , they are overtaken by a blizzard , a vicious storm in which something much more ominous moves . 	0
for a movie about the power of poetry and passion , there is precious little of either . 	1
a mafia don ( om puri ) dies and leaves behind such a will which starts an unending war between guru gulab khatri ( akshay kumar ) , don's son-in law and vikrant ( rahul dev ) , don's only son . 	0
a weaving trail of twists and turns that left people unsettled for two generations until investigative persistence aided by modern technology brings justice for a young mother and her family some 28 years later . 	0
staggers between flaccid satire and what is supposed to be madcap farce . 	1
a publication that documents their culture and demonstrates how the real world can both destroy and enhance their idealistic one . 	0
unfortunately , the experience of actually watching the movie is less compelling than the circumstances of its making . 	1
of course , this isn't the best idea , since it involves sneaking into gun-nut carl's house in the middle of the night . 	0
alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl . 	1
 . it's a brilliant revision of the book and it offers a motivation for the invention that's lacking in the first film version . 	1
when raj's family move to england to get involved in an internet business , raj promises tina that he will keep in touch with her and that their friendship will always be forever . 	0
a young man is struggling to get over harmful memories from his childhood , but while doing so discovers a technique that allows him to travel back in time and occupy his childhood body changing his history forever . 	0
he also doesn't realize that he accidentally left one of his shoes there . 	0
based on an acclaimed 1935 novel about the war of liberation ( 1918-1920 ) that ensured estonia's independence , the film tells about a group of young schoolboys heading to the front to fight the army of soviet russia . 	0
it's like a rap rashomon . there's a million different stories here . 	1
however , she also finds links to a foundation that runs a shelter for battered women , paradiset . 	0
a romantic comedy that operates by the rules of its own self-contained universe . 	1
luckily , this wouldn't be sabina's final contribution to psychoanalysis . 	0
aside from stumbling over some clunky visual metaphors guzm�n does a decent job of telling a story many outside chile simply don't know . 	1
disillusioned and with no money the secret knight joins the crusaders and embarks on new adventures . 	0
she's not yet an actress , not quite a singer . . . 	1
it will be an act of violence that thrusts the girl into womanhood and leads her to a new life where , not without pain , everything is possible . 	0
in betsy , she finds a dark mirror of herself - a lonely , angry , complex woman whose own troubled past proves disturbingly close to her own . 	0
apparently writer-director attal thought he need only cast himself and his movie-star wife sitting around in their drawers to justify a film . 	1
we participate in a world full of joy , hate , love and racism . 	0
"despite the predictable parent vs . child coming-of-age theme , first-class , natural acting and a look at "" the real americans "" make this a charmer . "	1
aside from the fact that the film idiotically uses the website feardotcom . com or the improperly hammy performance from poor stephen rea , the film gets added disdain for the fact that it is nearly impossible to look at or understand . 	1
shade is set in the world of poker hustlers working the clubs and martini bars of los angeles . 	0
a chaotic panorama that's too busy flying a lot of metaphoric flags . 	1
a retired emerald smuggler , robert , is convinced by his contact in brazil to come to rio and assist him with a lucrative deal . 	0
"styled after vh1's "" behind the music , "" this mockumentary profiles the rise and fall of an internet startup , called icevan . com . "	0
a band of college students go to a rave on a mysterious island and get more than they bargained for when they find themselves stalked by killer zombies and terrifying creatures intent on feasting on the flesh of the living . 	0
their only solid lead seems to be joanne , a young prostitute , whose own baby provides a link . 	0
inside , an old man lies ill on a bed , attended by his son and daughter-in-law . 	0
in capturing the understated comedic agony of an ever-ruminating , genteel yet decadent aristocracy that can no longer pay its bills , the film could just as well be addressing the turn of the 20th century into the 21st . 	1
the mystery inc . gang have gone their separate ways and have been apart for two years , until they each receive an invitation to spooky island . 	0
as the sisters approach the end of an era , and the end of an order , they search their souls in an examination of their life's work . 	0
thirty years ago he was a poor worker who left his girlfriend to pursuit his dream of success . 	0
often overwrought and at times positively irritating , the film turns into an engrossing thriller almost in spite of itself . 	1
one day , a girl walks into his store , who looks like larry's lost love from morocco . 	0
set during the cull of the stray dogs in the city of bucharest , the wild dogs weaves together a week in the lives of several citizens of and visitors to the hauntingly beautiful city . 	0
'grasp' is a darkly humorous mystery peppered with some truly surreal visuals . 	0
unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity . 	1
"rodney boland is a professional hit man who "" services "" politicians and their wealthy backers . "	0
one day a man named donny ( morris chestnut ) infiltrates a prison with a band of crooks looking for 200 million dollars worth of us gold . 	0
postponing his desire to play basketball on the school team , steve finds an after-school job to support himself and pursues a relationship with the affluent but unhappy sally ( arielle paul ) . 	0
sonia has a crush on akash and she decides to 'buy' his love via a financial agreement that states that on marrying sonia , her father gulshan will help finance the hospital project . 	0
about schmidt is a curious slice of americana . . . the characters are so clearly drawn and the dialogue so rich , you are immediately hooked . 	1
the boys' sparring , like the succession of blows dumped on guei , wears down the story's more cerebral , and likable , plot elements . 	1
a film that begins with the everyday lives of naval personnel in san diego and ends with scenes so true and heartbreaking that tears welled up in my eyes both times i saw the film . 	1
this overproduced and generally disappointing effort isn't likely to rouse the rush hour crowd . 	1
although it's a bit smug and repetitive , this documentary engages your brain in a way few current films do . 	1
 . . . comes alive only when it switches gears to the sentimental . 	1
a compelling allegory about the last days of germany's democratic weimar republic . 	1
excellent performances from jacqueline bisset and martha plimpton grace this deeply touching melodrama . 	1
sure , there are flaws , but the moments that do things properly see the screen burst with confidence , rhythm , heat and pizzazz . 	1
sorvino makes the princess seem smug and cartoonish , and the film only really comes alive when poor hermocrates and leontine pathetically compare notes about their budding amours . 	1
but when the teenager decides to invite a 12-year-old boy who is running away from home , maud is near illegality . 	0
as asked in the first movie , what sort of people name their son gay m . focker ? 	0
de oliveira seems not only to have read john berger's famous essay on looking , but also to have taken it as his personal instruction manual for filmmaking . 	1
instead he hides out in a cave on goose creek , waging guerilla warfare against expansionism and the destruction of historic property with the help of his family , friends , and neighbors . . . 	0
new hampshire , 1972 : will murphy , fledgling restaurant mogul , amateur lounge singer and go-go bar owner is stumbling after his own version of the american dream . 	0
oscar wilde's masterpiece , the importance of being earnest , may be the best play of the 19th century . it's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker's movie adaptation . 	1
nachtwey clears the cynicism right out of you . he makes you realize that deep inside righteousness can be found a tough beauty . 	1
the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . 	1
"the film , a follow-up to "" jack the dog "" , is described as a black comedy about a reformed womanizer ( nestor carbonell ) who struggles to keep his family together . "	0
monte cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds . 	1
geordie ( thom fitzgerald ) , a visiting canadian pornographer , bogdan ( mihai calota ) , a reluctant city dog-catcher , and nathalie ( alberta watson ) , a lonely diplomat's wife - each risks losing everything as they become embroiled in the struggles of bucharest's abandoned children , gypsies , dogs and beggars . 	0
with the help of a fellow believer ( hugh mclean ) , and despite several obstacles in the way , he sets out on this mission to fulfill his goal . 	0
those who aren't put off by the film's austerity will find it more than capable of rewarding them . 	1
this idea has lost its originality . . . and neither star appears very excited at rehashing what was basically a one-joke picture . 	1
lati , however , wants to return to school and finish her studies . 	0
frances decides to take a break and she buys a villa in the beautiful tuscan countryside and decides to begin anew . 	0
whether noam chomsky , the mit linguist and political philosopher , is the most important intellectual alive , as the new york times once famously called him , is open for debate . 	0
[shyamalan] turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count . 	1
the script by david koepp is perfectly serviceable and because he gives the story some soul . . . he elevates the experience to a more mythic level . 	1
rather than spreading good cheer , the duo's motive is to rob each establishment , a strategy that becomes complicated when they encounter a precocious 8-year old that teaches them the true meaning of christmas . 	0
works both as an engaging drama and an incisive look at the difficulties facing native americans . 	1
especially one of them , holo tokyo boy , was designed to be her lover . 	0
little more than a super-sized infomercial for the cable-sports channel and its summer x games . 	1
few films seem so wise and knowing about the fact of age and the approach of the end . 	1
what he doesn't expect is to get teamed up with a cocky civilian , world class boxing champion kelly robinson ( eddie murphy ) , on a dangerous top secret espionage mission . 	0
nayomi and lisa go to do the hit but everything goes terribly wrong . 	0
the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible ! 	1
like mike is a harmlessly na�ve slice of b-ball fantasy , fit for filling in during the real nba's off-season . 	1
leviticus , a navy veteran returns home after serving his country to find the war at home is harder than anything he's ever encountered , but exactly what &#38 ; who is he fighting for ? 	0
then , he must take the money from the e sale to the industrial district where a drunken old gun runner makes him hide in the closet when he gets a visitor then he takes the gun to a modern day opium den where t-mon , a spaced out pimp , cannot get a card trick right . 	0
james clayton ( farrell ) might not have the attitude of a typical recruit , but he is one of the smartest graduating seniors in the country - and he's just the person that walter burke ( pacino ) wants in the agency . 	0
vin diesel reunites with the director ( rob cohen ) and the producer ( neal h . moritz ) of the blockbuster the fast and the furious . 	0
at the beginning , the cast assembles for a seemingly traditional wedding shower . 	0
pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 	1
it's never a good sign when a film's star spends the entirety of the film in a coma . it's a worse sign when you begin to envy her condition . 	1
a dedicated scientist , aided by his clueless wife , rolls up his shirt sleeves and tries to save the world from a radioactive monster , curious space aliens , an evil scientist and a crabby skeleton in this send-up of the best of the b movies of the 1950's . 	0
screenwriter dan schneider and director shawn levy substitute volume and primary colors for humor and bite . 	1
things get a little awkward when harry suffers a heart attack at the home of marin's mother erica ( keaton ) . 	0
koepp's screenplay isn't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own . 	1
and then a body turns up on cape cod . . . 	0
also , there are motorcyclists around to bring momentum to the players . 	0
77 minutes of pokemon may not last 4ever , it just seems like it does . my only wish is that celebi could take me back to a time before i saw this movie and i could just skip it . 	1
though the bosses killed his father , he is loyal to them and is considered family . 	0
it collapses when mr . taylor tries to shift the tone to a thriller's rush . 	1
there's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers . 	1
a moving portrait of a man who has lost his place in the world . 	1
we never really feel involved with the story , as all of its ideas remain just that : abstract ideas . 	1
after listening to a missionary from china speak , a christian man ( josh gaffga ) becomes very convinced by what he hears . 	0
the movie is amateurish , but it's a minor treat . 	1
"international news media baron , rupert murdoch ( played by ben mendelsohn ) , then publisher of the adelaide "" news , "" became the driving force behind securing a re-trial for stuart . "	0
rather than the large chunk of change that many people would expect , ted instead receives his mother's pack of rowdy sled dogs and her property . 	0
against all odds in heaven and hell , it creeped me out just fine . 	1
the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox . 	1
though a capable thriller , somewhere along the way k-19 jettisoned some crucial drama . 	1
all the pieces in the mystery are finally starting to fit together , and the case seems almost resolved . 	0
tired , bruised and out of breath , they finally free the professor and arrive at the temple of faramundi scant minutes before gallo and his men . 	0
some , like the inmate philosopher , 451 , see the evil of their ways and repent , doing the best to keep their humanity . 	0
the theme of the film simultaneously addresses the similarities between the two factions of law and crime while revealing the similarities between the two brothers . 	0
privileged and popular , deanna differs dramatically from the alienated alicia . 	0
while treating a homicide detective for smoking , hypnotherapist michael strother has a telepathic vision of a young girl floating beneath the surface of a stream . 	0
filled with hatred she seduced louie , her classmate who had a crush on her , to get back at him - and as a favor she would go to bed with him . 	0
the film tells the parallel , conflicting trajectory of five women : anita , isabel , adela , leire , and maricarmen . 	0
there are a few laughs and clever sight gags scattered about , but not enough to make this anything more than another big-budget bust . 	1
a few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics aren't likely to enter the theater . 	1
two sisters aged six years , no sooner see their remaining parent buried when they are torn apart . 	0
throughout the day's move , their two very different groups of friends tangle in conflicts and romance while august tries to figure out who he really wants before it's too late . 	0
this comedy , based on steve martin's successful stage play concerns a fictional meeting between a young pablo picasso and a young albert einstein at a paris cafe at the turn of the 20th century . 	0
"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results . "	1
alex bernier ( ledger ) is a member of an arcane order of priests known as carolingians . 	0
" "" maid in manhattan "" is a charmer , a pc "" pretty woman "" that ditches the odious prostitution theme for class commentary"	1
"as austin chases dr . evil , mini-me and goldmember through time , he stops in 1975 to "" connect "" with an old girlfriend , detective foxy cleopatra , and requests her help to track the villains and save his father . "	0
the movie's major and most devastating flaw is its reliance on formula , though , and it's quite enough to lessen the overall impact the movie could have had . 	1
"[haynes'] homage to such films as "" all that heaven allows "" and "" imitation of life "" transcends them . simply put , "" far from heaven "" is a masterpiece . "	1
caught in an intrigue of baby-snatching , a bounty hunter and diaper-changing , dave and ruby spend a hilarious , unexpected and wild night together . 	0
one thing led to another until she ended up giving her virginity not knowing that he made a bet with his friends . 	0
it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future . 	1
is this love or is it masochism ? binoche makes it interesting trying to find out . 	1
jim must make it back to his wedding in time , and finch must find the location of stifler's mom's wedding ( ending in 'the graduate' style ) . 	0
but will's hope of a continued bachelorhood is interrupted when he meets 12-year old marcus , in many ways his complete opposite . 	0
hamilton high is no place for a teacher who cares . 	0
" "" in that sleep of death what dreams may come . . "" "	0
the cumulative effect of the relentless horror on parade numbs the movie's power as a work of drama . 	1
the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries . 	1
although purportedly a study in modern alienation , it's really little more than a particularly slanted , gay s/m fantasy , enervating and deadeningly drawn-out . 	1
when he dumps her , the whole building turns on him . 	0
the ringwraiths return in an even more frightening form . 	0
typifies the pros and cons of the films that india churns out . 	1
during the year 2000 geyrhalter and his teams travelled to a different destination each month , looking for places untouched by the millennium hysteria . 	0
three fraternal bank robbers languishing in jail , discover a profitable ( if not dodgy ) way to spend their time . 	0
about a boy vividly recalls the cary grant of room for one more , houseboat and father goose in its affectionate depiction of the gentle war between a reluctant , irresponsible man and the kid who latches onto him . 	1
not one moment in the enterprise didn't make me want to lie down in a dark room with something cool to my brow . 	1
biker cary ford is framed by and old rival and biker gang leader for the murder of another gang member who happens to be the brother of trey ( ice cube ) , leader of the most feared biker gang in the country . 	0
manages to accomplish what few sequels can -- it equals the original and in some ways even betters it . 	1
in the spirit of voltaire and moli�re , on guard volleys great wit and deadly gestures in a milieu of lush apparel , landscapes , captivating music and 18th-century lacy sleeves . 	1
the character is too forced and overwritten to be funny or believable much of the time , and clayburgh doesn't always improve the over-the-top mix . 	1
" "" growing hair "" is a perverse comedy about three , twenty-something friends coming to terms with their addictions that uses original , witty dialog to push a story of friendship between a gamer , a sarcastic gen . x'er , and a sexaholic . "	0
real women may have many agendas , but it also will win you over , in a big way . 	1
the stakes are high and the characters have to face their fears , their futures and their fellow grads as the game , and their lives , advance towards the climactic ending . 	0
anna must make a decision about honoring her father's wishes to go to italy and learn about her heritage , while her three friends each search for the perfect relationship . . . 	0
an experience so engrossing it is like being buried in a new environment . 	1
the director seems to take an unseemly pleasure in [the characters'] misery and at the same time to congratulate himself for having the guts to confront it . 	1
the they also find themselves in a battle to hold on to their discovery before it falls into the hands of their rival , fergus wolfe . 	0
amelia is a jaded top model , nina is a midwestern innocent on her first trip , fernanda is a bisexual supermodel , ellie is the calm , sensible stylist . 	0
he carefully plans every day of his life , leaving nothing to chance . 	0
the problem , amazingly enough , is the screenplay . 	1
dripping with cliche and bypassing no opportunity to trivialize the material . 	1
we haven't seen such hilarity since say it isn't so ! 	1
an efficient , exceedingly likable family film about orphans and sports that comes with equal doses of sentimentality , corny jokes and life lessons . 	1
nobody chooses to come here , this where they end up . 	0
even as i valiantly struggled to remain interested , or at least conscious , i could feel my eyelids . . . getting . . . very . . . heavy . . . 	1
i still can't relate to stuart : he's a mouse , for cryin' out loud , and all he does is milk it with despondent eyes and whine that nobody treats him human enough . 	1
"context is provided by those who protested against segregation and the limited franchise earlier in bermuda by authoring a "" secret document "" that analysed the social problems of the island . "	0
paravasu's young brother arvasu ( milind soman ) is in love with a tribal girl , nittilai ( sonali kulkarni ) . 	0
as the man descends in to the afterworld , he slowly discovers the answer to the ultimate question of mankind . 	0
" "" funny valentine "" is about learning what it takes to find true love . "	0
on the surface , their exchanges are trivial and stilted . 	0
breen's script has deadpan wit , though it becomes a little labored as it goes along . 	1
prey for rock &#38 ; roll is the story of jacki and her all-girl rock and roll band , clam dandy , who are trying to make it in the la club scene of the late 1980's . 	0
in the story , he is weary of being kept within the walls of his father's ( and soon to be his ) kingdom . 	0
a shy aristocratic english woman falls in love with a dashing younger artist and then rejects him fearing what society may think . 	0
those with a modicum of patience will find in these characters' foibles a timeless and unique perspective . 	1
numerobis calls upon an old friend to help him out : the fabulous druid panoramix ( miraculix in other language versions ) from gallia , who brews a fantastic potion that gives supernatural strength . 	0
people often will blame the world for keeping them from being able to live their dreams . 	0
continually challenges perceptions of guilt and innocence , of good guys and bad , and asks us whether a noble end can justify evil means . 	1
what they don't know , however , is that they're filming near the secret hideout of slobodan pavle , a serbian war criminal . 	0
a delightful surprise because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving , is funny and looks professional . 	1
a young aboriginal man max stuart , was convicted of murder in the light of questionable evidence presented , of nine year old mary hattam near ceduna , on the south coast of australia . 	0
film school confidential chronicles five film students over the course of one school year : sara , an intellectual , sal , who makes an earnest first film , mark , who shoots wild , psychedelic images , greg , who works hard at cinematography , and marta , sara's quiet freshman roommate . 	0
now a chinese guy throws a monkey wrench into their plans . 	0
disregarding the fbi's warning , rachel probes into her sisters disappearance . 	0
